item,type,subject,property,stimulus,question_type,prompt,choices,answer,catch,list_number
christians go to church,statistical,Christians, go to church,Christians go to church.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
muslims are middle eastern,statistical,Muslims, are Middle Eastern,Muslims are Middle Eastern.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
bananas ripen quickly,statistical,bananas, ripen quickly,Bananas ripen quickly.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
bulldozers are yellow,statistical,bulldozers, are yellow,Bulldozers are yellow.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
clocks have alarms ,statistical,clocks, have alarms,Clocks have alarms.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
dolls wear dresses,statistical,dolls, wear dresses,Dolls wear dresses.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
goats are stubborn,statistical,goats, are stubborn,Goats are stubborn.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
lemons are yellow,statistical,lemons, are yellow,Lemons are yellow.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
needles are sterile,statistical,needles, are sterile,Needles are sterile.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
raccoons eat garbage,statistical,raccoons, eat garbage,Raccoons eat garbage.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
shower caps are transparent,statistical,shower caps, are transparent,Shower caps are transparent.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
submarines are black,statistical,submarines, are black,Submarines are black.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
trumpets are loud,statistical,trumpets, are loud,Trumpets are loud.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
americans live in america,principled,Americans, live in America,Americans live in America.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
italians live in southern europe,principled,Italians, live in Southern Europe,Italians live in Southern Europe.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
architects design buildings,principled,architects, design buildings,Architects design buildings.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
birds have wings,principled,birds, have wings,Birds have wings.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
cheerleaders are spirited,principled,cheerleaders, are spirited,Cheerleaders are spirited.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
doctors diagnose ailments ,principled,doctors, diagnose ailments,Doctors diagnose ailments.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
engineers have degrees,principled,engineers, have degrees,Engineers have degrees.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
horses have four legs,principled,horses, have four legs,Horses have four legs.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
milk is white,principled,milk, is white,Milk is white.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
police officers wear badges,principled,police officers, wear badges,Police officers wear badges.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
sandpaper is rough,principled,sandpaper, is rough,Sandpaper is rough.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
spinach is green ,principled,spinach, is green,Spinach is green.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
tightrope walkers have good balance,principled,tightrope walkers, have good balance,Tightrope walkers have good balance.,generic,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
englishmen drink tea ,statistical,Englishmen, drink tea,"<i>Because</i> they are Englishmen, Englishmen drink tea.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
united states presidents are men,statistical,United States presidents, are men,"<i>Because</i> they are United States presidents, United States presidents are men.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
barns are red,statistical,barns, are red,"<i>Because</i> they are barns, barns are red.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
carrots are orange,statistical,carrots, are orange,"<i>Because</i> they are carrots, carrots are orange.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
cows live on farms,statistical,cows, live on farms,"<i>Because</i> they are cows, cows live on farms.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
ducks are female,statistical,ducks, are female,"<i>Because</i> they are ducks, ducks are female.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
golfers wear plaid pants,statistical,golfers, wear plaid pants,"<i>Because</i> they are golfers, golfers wear plaid pants.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
leopards are predators,statistical,leopards, are predators,"<i>Because</i> they are leopards, leopards are predators.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
oranges are grown in florida,statistical,oranges, are grown in Florida,"<i>Because</i> they are oranges, oranges are grown in Florida.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
raincoats are plastic,statistical,raincoats, are plastic,"<i>Because</i> they are raincoats, raincoats are plastic.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
snakes are long,statistical,snakes, are long,"<i>Because</i> they are snakes, snakes are long.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
summers are humid ,statistical,summers, are humid,"<i>Because</i> they are summers, summers are humid.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
turtles eat lettuce,statistical,turtles, eat lettuce,"<i>Because</i> they are turtles, turtles eat lettuce.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
brazilians are south american,principled,Brazilians, are South American,"<i>Because</i> they are Brazilians, Brazilians are South American.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
jews don’t eat pork ,principled,Jews, don’t eat pork,"<i>Because</i> they are Jews, Jews don’t eat pork.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
artists are creative ,principled,artists, are creative,"<i>Because</i> they are artists, artists are creative.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
books have pages,principled,books, have pages,"<i>Because</i> they are books, books have pages.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
cheetahs run fast,principled,cheetahs, run fast,"<i>Because</i> they are cheetahs, cheetahs run fast.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
dogs are mammals,principled,dogs, are mammals,"<i>Because</i> they are dogs, dogs are mammals.",by_virtue_of,How true is the above statement?,"completely false,,,neither true nor false,,,completely true",,,7
